"id","Pais","Localidad","Denominación Genérica","Denominación Específica","Código","Naturaleza","Domicilio","Municipio","CP","Provincia","Comunidad autónoma","TIPO"
1,"ESPAÑA","Madrid","Colegio Público","AULAS ITINERANTES","00004125","Centro público",,,"28027","Madrid","COMUNIDAD DE MADRID","0"
28,"ESPAÑA","Villanueva de Valdegovia","Colegio Público","COM.GOBEA","01000597","Centro público","ESCUELAS","Valdegovía/Gaubea","01426","Araba/Álava","COMUNIDAD AUTÓNOMA DEL PAÍS VASCO","0"
