"id";"Pais";"Localidad";"Denominación Genérica";"Denominación Específica";"Código";"Naturaleza";"Tipo"
23489;"ESPAÑA";"O Porriño";"Centro Privado con varias Enseñanzas de Régimen General";"SANTO TOMAS";36006997;"Centro privado";1
23490;"ESPAÑA";"O Porriño";"Instituto de Educación Secundaria (IES)";"PINO MANSO";36007011;"Centro público";0
23491;"ESPAÑA";"O Porriño";"Colegio Público";"XOSE FERNANDEZ LOPEZ";36007023;"Centro público";0
23492;"ESPAÑA";"Rapeira";"Centro Integrado (Varias enseñanzas de Régimen General)";"DOMINGO FONTAN";36007035;"Centro público";0
23493;"ESPAÑA";"Chancelas";"Colegio Público";"DE CHANCELAS";36007060;"Centro público";0
23494;"ESPAÑA";"Seca";"Colegio Público";"ISIDORA RIESTRA";36007199;"Centro público";0
23495;"ESPAÑA";"Caeira";"Centro Privado de Educación Secundaria";"ESTUDIO";36007217;"Centro privado";2
23496;"ESPAÑA";"Bao";"Colegio Público de Educación Especial";"DO VAO";36007230;"Centro público";0
23497;"ESPAÑA";"Viñas";"Colegio Público";"DE VIÑAS";36007242;"Centro público";0
23498;"ESPAÑA";"O Casal";"Colegio Público";"FELICIANO BARRERA";36007370;"Centro público";0
23499;"ESPAÑA";"A Portela";"Colegio Público";"DE PADRONS";36007451;"Centro público";0
23500;"ESPAÑA";"Ponteareas";"Colegio Público";"NOSA SRA. DOS REMEDIOS";36007497;"Centro público";0
23501;"ESPAÑA";"Ponteareas";"Centro Privado con varias Enseñanzas de Régimen General";"SANTIAGO APOSTOL";36007515;"Centro privado";1
23502;"ESPAÑA";"Ponteareas";"Centro Privado con varias Enseñanzas de Régimen General";"LA INMACULADA";36007527;"Centro privado";1
23503;"ESPAÑA";"Ponteareas";"Colegio Público";"FERMIN BOUZA BREY";36007539;"Centro público";0
23504;"ESPAÑA";"Ponteareas";"Centro Público Integrado de Formación Profesional";"GRANXA";36007552;"Centro público";0
23505;"ESPAÑA";"Pontecaldelas";"Colegio Público";"MANUEL CORDO BOULLOSA";36007591;"Centro público";0
